onset	duration	sample	type	value
6.47686100149785	n/a	7773.23320179742	wav_onset	10
6.48849932349332	0.3891156462582	7787.19918819199	word_onset_01	"sp"
6.48849932349332	0.3891156462582	7787.19918819199	phoneme_onset_01	"sp"
6.87761496975152	0.109750566894001	8254.13796370183	word_onset_01	"THE"
6.87761496975152	0.049886621315001	8254.13796370183	phoneme_onset_01	"DH"
6.92750159106652	0.0598639455789998	8314.00190927983	phoneme_onset_01	"IY0"
6.98736553664552	0.508843537418999	8385.83864397463	word_onset_01	"ADVENTURE"
6.98736553664552	0.0299319727889997	8385.83864397463	phoneme_onset_01	"AH0"
7.01729750943452	0.0598639455779994	8421.75701132143	phoneme_onset_01	"D"
7.07716145501252	0.049886621315001	8493.59374601503	phoneme_onset_01	"V"
7.12704807632752	0.0698412698419997	8553.45769159303	phoneme_onset_01	"EH1"
7.19688934616952	0.0997732426300005	8637.26721540343	phoneme_onset_01	"N"
7.29666258879952	0.139682539682	8756.99510655943	phoneme_onset_01	"CH"
7.43634512848152	0.0598639455829986	8924.61415417783	phoneme_onset_01	"ER0"
7.49620907406452	0.31927437641	8996.45088887743	word_onset_01	"sp"
7.49620907406452	0.31927437641	8996.45088887743	phoneme_onset_01	"sp"
7.81548345047452	0.1097505669	9379.58014056943	word_onset_01	"OF"
7.81548345047452	0.0698412698399989	9379.58014056943	phoneme_onset_01	"AH1"
7.88532472031452	0.0399092970600016	9463.38966437742	phoneme_onset_01	"V"
7.92523401737452	0.0798185940999989	9511.28082084943	word_onset_01	"THE"
7.92523401737452	0.0498866213100003	9511.28082084943	phoneme_onset_01	"DH"
7.97512063868452	0.0299319727899986	9571.14476642143	phoneme_onset_01	"AH0"
8.00505261147452	0.33922902494	9607.06313376942	word_onset_01	"BLUE"
8.00505261147452	0.109750566890001	9607.06313376942	phoneme_onset_01	"B"
8.11480317836452	0.0598639455800003	9738.76381403743	phoneme_onset_01	"L"
8.17466712394452	0.169614512469999	9810.60054873343	phoneme_onset_01	"UW1"
8.34428163641452	0.648526077100002	10014.1379636974	word_onset_01	"CARBUNCLE"
8.34428163641452	0.119727891160001	10014.1379636974	phoneme_onset_01	"K"
8.46400952757452	0.0997732426300005	10157.8114330894	phoneme_onset_01	"AA1"
8.56378277020452	0.0299319727899986	10277.5393242454	phoneme_onset_01	"R"
8.59371474299452	0.0698412698400004	10313.4576915934	phoneme_onset_01	"B"
8.66355601283452	0.0299319727900001	10397.2672154014	phoneme_onset_01	"AH0"
8.69348798562452	0.0997732426300005	10433.1855827494	phoneme_onset_01	"NG"
8.79326122825452	0.0798185941099988	10552.9134739054	phoneme_onset_01	"K"
8.87307982236452	0.0299319727800002	10648.6957868374	phoneme_onset_01	"AH0"
8.90301179514452	0.0897959183700019	10684.6141541734	phoneme_onset_01	"L"
8.99280771351452	2.4843537415	10792.3692562174	word_onset_01	"sp"
8.99280771351452	2.4843537415	10792.3692562174	phoneme_onset_01	"sp"
11.4771614550145	0.169614512470001	13773.5937460174	word_onset_01	"I"
11.4771614550145	0.169614512470001	13773.5937460174	phoneme_onset_01	"AY1"
11.6467759674845	0.139682539679999	13977.1311609814	word_onset_01	"HAD"
11.6467759674845	0.0299319727900001	13977.1311609814	phoneme_onset_01	"HH"
11.6767079402745	0.0598639455800003	14013.0495283294	phoneme_onset_01	"AE1"
11.7365718858545	0.0498866213099988	14084.8862630254	phoneme_onset_01	"D"
11.7864585071645	0.259410430840001	14144.7502085974	word_onset_01	"CALLED"
11.7864585071645	0.0897959183700019	14144.7502085974	phoneme_onset_01	"K"
11.8762544255345	0.109750566889999	14252.5053106414	phoneme_onset_01	"AO1"
11.9860049924245	0.0299319727899986	14384.2059909094	phoneme_onset_01	"L"
12.0159369652145	0.0299319727900017	14420.1243582574	phoneme_onset_01	"D"
12.0458689380045	0.209523809529999	14456.0427256054	word_onset_01	"UPON"
12.0458689380045	0.0299319727900001	14456.0427256054	phoneme_onset_01	"AH0"
12.0758009107945	0.0598639455799988	14491.9610929534	phoneme_onset_01	"P"
12.1356648563745	0.0798185941000005	14563.7978276494	phoneme_onset_01	"AA1"
12.2154834504745	0.0399092970600001	14659.5801405694	phoneme_onset_01	"N"
12.2553927475345	0.139682539679999	14707.4712970414	word_onset_01	"MY"
12.2553927475345	0.0598639455700004	14707.4712970414	phoneme_onset_01	"M"
12.3152566931045	0.0798185941099988	14779.3080317254	phoneme_onset_01	"AY1"
12.3950752872145	0.31927437641	14875.0903446574	word_onset_01	"FRIEND"
12.3950752872145	0.0997732426300005	14875.0903446574	phoneme_onset_01	"F"
12.4948485298445	0.0498866213100003	14994.8182358134	phoneme_onset_01	"R"
12.5447351511545	0.0498866213200002	15054.6821813854	phoneme_onset_01	"EH1"
12.5946217724745	0.0897959183700004	15114.5461269694	phoneme_onset_01	"N"
12.6844176908445	0.0299319727799987	15222.3012290134	phoneme_onset_01	"D"
12.7143496636245	0.35918367347	15258.2195963494	word_onset_01	"SHERLOCK"
12.7143496636245	0.129705215420001	15258.2195963494	phoneme_onset_01	"SH"
12.8440548790445	0.0299319727900017	15413.8658548534	phoneme_onset_01	"ER1"
12.8739868518345	0.0598639455799973	15449.7842222014	phoneme_onset_01	"L"
12.9338507974145	0.0698412698400019	15521.6209568974	phoneme_onset_01	"AA2"
13.0036920672545	0.0698412698399989	15605.4304807054	phoneme_onset_01	"K"
13.0735333370945	0.399092970530002	15689.2400045134	word_onset_01	"HOLMES"
13.0735333370945	0.109750566899999	15689.2400045134	phoneme_onset_01	"HH"
