onset	duration	sample	type	value
20.1915013170977	n/a	24230.8015805173	wav_onset	10
20.2031396390932	0.628571428571201	24244.7675669118	word_onset_01	"sp"
20.2031396390932	0.628571428571201	24244.7675669118	phoneme_onset_01	"sp"
20.8317110676644	0.0897959183679995	24999.0532811973	word_onset_01	"A"
20.8317110676644	0.0897959183679995	24999.0532811973	phoneme_onset_01	"AH0"
20.9215069860324	0.598639455782001	25106.8083832389	word_onset_01	"CASE"
20.9215069860324	0.129705215419002	25106.8083832389	phoneme_onset_01	"K"
21.0512122014514	0.169614512472999	25262.4546417417	phoneme_onset_01	"EY1"
21.2208267139244	0.29931972789	25465.9920567093	phoneme_onset_01	"S"
21.5201464418144	0.159637188209999	25825.1757301773	word_onset_01	"OF"
21.5201464418144	0.109750566890001	25825.1757301773	phoneme_onset_01	"AH1"
21.6298970087044	0.0498866213199987	25956.8764104453	phoneme_onset_01	"V"
21.6797836300244	0.65850340136	26016.7403560293	word_onset_01	"IDENTITY"
21.6797836300244	0.129705215419999	26016.7403560293	phoneme_onset_01	"AY0"
21.8094888454444	0.0698412698400019	26172.3866145333	phoneme_onset_01	"D"
21.8793301152844	0.0698412698399989	26256.1961383413	phoneme_onset_01	"EH1"
21.9491713851244	0.0698412698399989	26340.0056621493	phoneme_onset_01	"N"
22.0190126549644	0.0399092970499987	26423.8151859573	phoneme_onset_01	"T"
22.0589219520144	0.0299319727900032	26471.7063424173	phoneme_onset_01	"AH0"
22.0888539248044	0.109750566899999	26507.6247097653	phoneme_onset_01	"T"
22.1986044917044	0.139682539680001	26639.3253900453	phoneme_onset_01	"IY0"
22.3382870313844	2.32471655329	26806.9444376613	word_onset_01	"sp"
22.3382870313844	2.32471645351	26806.9444376613	phoneme_onset_01	"sp"
24.6630035846744	0.289342403630001	29596.6043016093	word_onset_01	"MY"
24.6630035846744	0.119727891149999	29596.6043016093	phoneme_onset_01	"M"
24.7827314758244	0.169614512480002	29740.2777709893	phoneme_onset_01	"AY1"
24.9523459883044	0.31927437641	29943.8151859653	word_onset_01	"DEAR"
24.9523459883044	0.0798185940999974	29943.8151859653	phoneme_onset_01	"D"
25.0321645824044	0.20952380952	30039.5974988853	phoneme_onset_01	"IH1"
25.2416883919244	0.0299319727900032	30291.0260703093	phoneme_onset_01	"R"
25.2716203647144	0.488888888889999	30326.9444376573	word_onset_01	"FELLOW"
25.2716203647144	0.139682539679998	30326.9444376573	phoneme_onset_01	"F"
25.4113029043944	0.0498866213200017	30494.5634852733	phoneme_onset_01	"EH1"
25.4611895257144	0.189569160999996	30554.4274308573	phoneme_onset_01	"L"
25.6507586867144	0.109750566890004	30781.9104240573	phoneme_onset_01	"OW0"
25.7605092536044	0.299319727889997	30913.6111043253	word_onset_01	"sp"
25.7605092536044	0.299319727889997	30913.6111043253	phoneme_onset_01	"sp"
26.0598289814944	0.229478458050001	31272.7947777933	word_onset_01	"SAID"
26.0598289814944	0.129705215420002	31272.7947777933	phoneme_onset_01	"S"
26.1895341969144	0.0498866213200017	31428.4410362973	phoneme_onset_01	"EH1"
26.2394208182344	0.0498866213099973	31488.3049818813	phoneme_onset_01	"D"
26.2893074395444	0.468934240369999	31548.1689274533	word_onset_01	"SHERLOCK"
26.2893074395444	0.149659863950001	31548.1689274533	phoneme_onset_01	"SH"
26.4389673034944	0.0399092970499987	31727.7607641933	phoneme_onset_01	"ER1"
26.4788766005444	0.129705215420002	31775.6519206533	phoneme_onset_01	"L"
26.6085818159644	0.0498866213100003	31931.2981791573	phoneme_onset_01	"AA2"
26.6584684372744	0.0997732426399974	31991.1621247293	phoneme_onset_01	"K"
26.7582416799144	0.369160997729999	32110.8900158973	word_onset_01	"HOLMES"
26.7582416799144	0.0299319727800018	32110.8900158973	phoneme_onset_01	"HH"
26.7881736526944	0.0798185941099988	32146.8083832333	phoneme_onset_01	"OW1"
26.8679922468044	0.149659863940002	32242.5906961653	phoneme_onset_01	"M"
27.0176521107444	0.109750566899996	32422.1825328933	phoneme_onset_01	"Z"
27.1274026776444	0.20952380952	32553.8832131733	word_onset_01	"sp"
27.1274026776444	0.20952380952	32553.8832131733	phoneme_onset_01	"sp"
27.3369264871644	0.129705215420005	32805.3117845973	word_onset_01	"AS"
27.3369264871644	0.0798185941100019	32805.3117845973	phoneme_onset_01	"EH1"
27.4167450812744	0.0498866213100033	32901.0940975293	phoneme_onset_01	"Z"
27.4666317025844	0.109750566889998	32960.9580431013	word_onset_01	"WE"
27.4666317025844	0.0299319727900001	32960.9580431013	phoneme_onset_01	"W"
27.4965636753744	0.0798185940999974	32996.8764104493	phoneme_onset_01	"IY1"
27.5763822694744	0.27936507937	33092.6587233693	word_onset_01	"SAT"
27.5763822694744	0.109750566899996	33092.6587233693	phoneme_onset_01	"S"
27.6861328363744	0.109750566890004	33224.3594036493	phoneme_onset_01	"AE1"
27.7958834032644	0.0598639455800003	33356.0600839173	phoneme_onset_01	"T"
27.8557473488444	0.109750566889998	33427.8968186133	word_onset_01	"ON"
27.8557473488444	0.0698412698399989	33427.8968186133	phoneme_onset_01	"AA1"
27.9255886186844	0.0399092970499987	33511.7063424213	phoneme_onset_01	"N"
27.9654979157344	0.209523809530001	33559.5974988813	word_onset_01	"EITHER"
27.9654979157344	0.149659863950001	33559.5974988813	phoneme_onset_01	"AY1"
28.1151577796844	0.0299319727900001	33739.1893356213	phoneme_onset_01	"DH"
28.1450897524744	0.0299319727900001	33775.1077029693	phoneme_onset_01	"ER0"
28.1750217252644	0.259410430840004	33811.0260703173	word_onset_01	"SIDE"
28.1750217252644	0.139682539680004	33811.0260703173	phoneme_onset_01	"S"
28.3147042649444	0.0897959183699944	33978.6451179333	phoneme_onset_01	"AY1"
28.4045001833144	0.0299319727900062	34086.4002199773	phoneme_onset_01	"D"
28.4344321561044	0.0698412698399928	34122.3185873253	word_onset_01	"OF"
28.4344321561044	0.0299319727799957	34122.3185873253	phoneme_onset_01	"AH0"
28.4643641288844	0.0399092970599971	34158.2369546613	phoneme_onset_01	"V"
28.5042734259444	0.0798185941000095	34206.1281111333	word_onset_01	"THE"
28.5042734259444	0.0299319727900062	34206.1281111333	phoneme_onset_01	"DH"
28.5342053987344	0.0498866213100033	34242.0464784813	phoneme_onset_01	"AH1"
28.5840920200444	0.48888888888999	34301.9104240533	word_onset_01	"FIRE"
28.5840920200444	0.149659863949995	34301.9104240533	phoneme_onset_01	"F"
28.7337518839944	0.239455782309997	34481.5022607933	phoneme_onset_01	"AY1"
28.9732076663044	0.099773242629999	34768.8491995653	phoneme_onset_01	"ER0"
29.0729809089344	0.0897959183700004	34888.5770907213	word_onset_01	"IN"
29.0729809089344	0.0299319727900062	34888.5770907213	phoneme_onset_01	"AH0"
29.1029128817244	0.0598639455799942	34924.4954580693	phoneme_onset_01	"N"
29.1627768273044	0.169614512470004	34996.3321927653	word_onset_01	"HIS"
29.1627768273044	0.0299319727900062	34996.3321927653	phoneme_onset_01	"HH"
29.1927088000944	0.0498866213099973	35032.2505601133	phoneme_onset_01	"IH1"
29.2425954214044	0.0897959183700004	35092.1145056853	phoneme_onset_01	"Z"
29.3323913397744	0.558730158729995	35199.8696077293	word_onset_01	"LODGINGS"
29.3323913397744	0.0698412698400049	35199.8696077293	phoneme_onset_01	"L"
29.4022326096144	0.109750566889998	35283.6791315373	phoneme_onset_01	"AA1"
29.5119831765044	0.109750566899996	35415.3798118053	phoneme_onset_01	"JH"
